gen,beta,x,y,abund,muFit,sigmaFit,muDisp,sigmaDisp
12,0,0,8,85,0.048821062170849,0.157496433841335,-100,0
12,0,0,6,89,0.0443404021989827,0.166410722927953,-100,0
12,0,0,2,97,0.0501732985562466,0.154389344247586,-100,0
12,0,0,3,105,0.0460794575865884,0.180259880436663,-100,0
13,0,0,4,113,0.0448091301033693,0.150749284909084,-100,0
13,0,0,5,97,0.0458165161966669,0.144868442160424,-100,0
13,0,0,10,103,0.0553412232489595,0.159824923197076,-100,0
13,0,0,7,111,0.0456393799805938,0.173805718413779,-100,0
13,0,0,1,95,0.0525031045761597,0.191564392328372,-100,0
13,0,0,9,109,0.054935166012237,0.145379834464366,-100,0
13,0,0,8,94,0.0474179132281686,0.155993292996224,-100,0
13,0,0,6,109,0.0448212496460385,0.166231279476719,-100,0
13,0,0,2,109,0.049309103882463,0.148046800467965,-100,0
13,0,0,3,95,0.0461589010431709,0.185825040626076,-100,0
14,0,0,4,90,0.0445627513407695,0.163090141810091,-100,0
14,0,0,5,91,0.0455129209574596,0.148024539099079,-100,0
14,0,0,10,103,0.0546843540579533,0.170013515794536,-100,0
14,0,0,7,93,0.0445560813255463,0.176392833720664,-100,0
14,0,0,1,70,0.0530415422461418,0.194678640654158,-100,0
14,0,0,9,98,0.0549885650972567,0.14900231854361,-100,0
14,0,0,8,108,0.0471314147660525,0.163379074391598,-100,0
14,0,0,6,95,0.0454866136599718,0.171268204418718,-100,0
14,0,0,2,111,0.0482415753590254,0.155824658011944,-100,0
14,0,0,3,94,0.0453639377642802,0.195937220370545,-100,0
15,0,0,4,107,0.0458005814918083,0.169192226023874,-100,0
15,0,0,5,94,0.0465923543108677,0.145672104121275,-100,0
15,0,0,10,89,0.0550444029051784,0.169717239445358,-100,0
15,0,0,7,109,0.0443042967505805,0.177484482430209,-100,0
15,0,0,1,88,0.052469528944684,0.191392133488687,-100,0
15,0,0,9,97,0.0555778684827754,0.135498891067452,-100,0
15,0,0,8,94,0.0475745976291144,0.163047788522242,-100,0
15,0,0,6,91,0.0453074782654827,0.166314707063848,-100,0
15,0,0,2,111,0.0478405644634584,0.159203792496923,-100,0
15,0,0,3,106,0.0438397577207142,0.200229675191433,-100,0
16,0,0,4,101,0.0456128290267837,0.172177538947091,-100,0
16,0,0,5,111,0.0470920144560253,0.145094585027119,-100,0
16,0,0,10,109,0.0543682283358385,0.177375059948273,-100,0
16,0,0,7,83,0.0433819952037311,0.180074332866419,-100,0
16,0,0,1,102,0.0511652370018909,0.193765996067418,-100,0
16,0,0,9,92,0.0559081852835114,0.125779569768197,-100,0
16,0,0,8,86,0.0476640461937687,0.165228573798653,-100,0
16,0,0,6,112,0.0450488865027446,0.170348080875086,-100,0
16,0,0,2,99,0.047648050332348,0.153796861048975,-100,0
16,0,0,3,97,0.0435889501833591,0.196692067740787,-100,0
17,0,0,4,116,0.0461598114115902,0.171413590234815,-100,0
17,0,0,5,108,0.0473916911963766,0.143750875656605,-100,0
17,0,0,10,103,0.053265873887669,0.179439483824751,-100,0
17,0,0,7,111,0.0438506199651502,0.179838919758193,-100,0
17,0,0,1,107,0.0507871550414505,0.197082890517992,-100,0
17,0,0,9,98,0.0564537810508029,0.126818410280323,-100,0
17,0,0,8,89,0.048008371234231,0.170488834693926,-100,0
17,0,0,6,102,0.0442902251068403,0.174738543571799,-100,0
17,0,0,2,117,0.0477767656631954,0.151754996492017,-100,0
17,0,0,3,118,0.0432204316565682,0.202803634437023,-100,0
18,0,0,4,95,0.0455889924985341,0.168824468836923,-100,0
18,0,0,5,99,0.0475765349876493,0.139222133026932,-100,0
