x0,y0,x1,y1,fit1_1,fit1_2,fit1_3,fit1_4,fit1_5,fit2_1,fit2_2,fit2_3,fit2_4,fit2_5,disp1_1,disp1_2,disp1_3,disp1_4,disp1_5,disp2_1,disp2_2,disp2_3,disp2_4,disp2_5
0,8,NA,NA,0.0772800392232904,0.0635817290081974,0.107917136084581,0.0557124381906032,0.0726237617524332,0.0222321284025765,0.0561403887947456,0.0344635991996437,0.0557124381906032,0.0445429620116536,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
0,8,NA,NA,0.0772800392232904,0.0635817290081974,0.107917136084581,0.0557124381906032,0.0726237617524332,0.0210148664718992,0.00970004707868893,0.107917136084581,0.0557124381906032,0.0445429620116536,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
0,8,NA,NA,0.0210148664718992,0.0561403887947456,0.0344635991996437,0.0557124381906032,0.0717922685482515,0.0210148664718992,0.00970004707868893,0.107917136084581,0.0478240815610989,0.0445429620116536,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
0,8,NA,NA,0.0772800392232904,0.0635817290081974,0.0203446326945273,0.0557124381906032,0.0726237617524332,0.0210148664718992,0.00970004707868893,0.0841261990775822,0.0557124381906032,0.0726237617524332,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
0,8,NA,NA,0.0222321284025765,0.0635817290081974,0.0841261990775822,0.0557124381906032,0.0445429620116536,0.0222321284025765,0.00970004707868893,0.107917136084581,0.0557124381906032,-0.00843332959862634,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
0,8,NA,NA,0.0222321284025765,0.0635817290081974,0.0344635991996437,0.0478240815610989,-0.00843332959862634,0.0222321284025765,0.00970004707868893,0.0841261990775822,0.0557124381906032,-0.00843332959862634,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
0,8,NA,NA,0.0210148664718992,0.0635817290081974,0.0841261990775822,0.0557124381906032,-0.00843332959862634,0.0222321284025765,0.00970004707868893,0.0344635991996437,0.0478240815610989,-0.00843332959862634,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
0,8,NA,NA,0.0210148664718992,0.00970004707868893,0.107917136084581,0.0478240815610989,0.0445429620116536,0.0210148664718992,0.00970004707868893,0.107917136084581,0.0557124381906032,0.0445429620116536,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
0,8,NA,NA,0.0210148664718992,0.0561403887947456,0.0841261990775822,0.0478240815610989,-0.00843332959862634,0.0210148664718992,0.0561403887947456,0.107917136084581,0.0557124381906032,0.0445429620116536,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
0,8,NA,NA,0.0222321284025765,0.00970004707868893,0.0344635991996437,0.0478240815610989,-0.00843332959862634,0.0222321284025765,0.0635817290081974,0.0841261990775822,0.0557124381906032,0.0726237617524332,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
